City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,15.57,71,100,2.68,NZ,1738809341
1,adamstown,-25.066,-130.1015,25.27,78,17,5.15,PN,1738809342
2,pilar,-9.5972,-35.9567,23.96,91,100,0.75,BR,1738809343
3,isafjordur,66.0755,-23.124,0.88,83,100,19.84,IS,1738809211
4,vorgashor,67.5833,63.95,-14.42,98,100,3.83,RU,1738809346
5,tazovsky,67.4667,78.7,-17.35,96,100,2.24,RU,1738809347
6,cidreira,-30.1811,-50.2056,24.55,95,6,3.15,BR,1738809348
7,twon-brass,4.3151,6.2418,27.58,81,100,3.53,NG,1738809349
8,port alfred,-33.5906,26.891,18.43,100,100,1.34,ZA,1738809350
9,korla,41.7597,86.1469,-6.98,69,100,0.63,CN,1738809351
10,sai kung,22.3822,114.2728,18.39,58,100,3.13,CN,1738809354
11,whitehorse,60.7161,-135.0538,-16.77,81,75,0.0,CA,1738809070
12,astrakhan,46.3497,48.0408,-4.07,80,100,7.0,RU,1738809356
13,soio,-6.1349,12.3689,26.32,87,100,3.27,AO,1738809357
14,longyearbyen,78.2186,15.6401,0.91,69,100,6.69,SJ,1738809358
15,ushuaia,-54.8,-68.3,9.81,62,0,1.54,AR,1738809360
16,rosso,16.4986,-15.8153,18.25,17,0,5.21,SN,1738809361
17,harper,4.375,-7.7169,26.18,85,0,2.89,LR,1738809362
18,margaret river,-33.95,115.0667,26.14,48,0,7.35,AU,1738809363
19,karratha,-20.7377,116.8463,36.46,44,39,6.62,AU,1738809364
20,grand gaube,-20.0064,57.6608,26.88,90,13,0.45,MU,1738809366
21,mount gambier,-37.8333,140.7667,30.27,26,1,2.02,AU,1738809368
22,iqaluit,63.7506,-68.5145,-31.15,69,40,2.06,CA,1738809369
23,aasiaat,68.7098,-52.8699,-31.72,99,79,1.5,GL,1738809370
24,avarua,-21.2078,-159.775,30.03,70,75,5.14,CK,1738809371
25,aberdeen,57.1437,-2.0981,-0.26,93,4,2.06,GB,1738809372
26,cannonvale,-20.2833,148.7,24.66,94,100,4.76,AU,1738809373
27,lihue,21.9789,-159.3672,22.77,73,100,3.6,US,1738809128
28,oranjemund,-28.55,16.4333,15.91,85,10,8.49,NA,1738809376
29,grytviken,-54.2811,-36.5092,2.07,92,78,3.8,GS,1738809377
30,balqash,46.8481,74.995,-12.67,72,0,10.0,KZ,1738809195
31,port lincoln,-34.7333,135.8667,24.28,55,1,4.92,AU,1738809379
32,kuta,-8.7233,115.1723,30.97,70,20,3.6,ID,1738809380
33,ulladulla,-35.35,150.4667,25.27,68,3,5.04,AU,1738809382
34,tateyama,34.9833,139.8667,5.95,48,76,9.05,JP,1738809383
35,port-aux-francais,-49.35,70.2167,7.3,95,95,10.02,TF,1738809384
36,puerto ayora,-0.7393,-90.3518,24.75,98,6,1.34,EC,1738809385
37,williamsburg,37.2707,-76.7075,3.87,68,100,2.06,US,1738809386
38,ilulissat,69.2167,-51.1,-23.99,58,75,6.17,GL,1738809387
